trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass	example_id
1	fish_white_bodies_orange_stripes_or_fangs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	fish-stripes_color-orange	fish-stripes_color-purple	fish-stripes_color-orange	ok	702	speaker	5599	chatMessage	C	Y	-8703838065427925038
1	fish_white_bodies_orange_stripes_or_fangs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	fish-stripes_color-orange	fish-stripes_color-purple	fish-stripes_color-orange	I see a fish with white stripes	7131	speaker	13612	chatMessage	I	E	-8703838065427925038
2	flowers_orange_petals_purple_centers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	flower-petals_color-orange	flower-stem_color-purple	flower-center_color-white	i  see a purple flower with a purple dot and orange stem	10823	speaker	18569	chatMessage	I	E	3418727201285653551
3	birds_tails	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	bird-tail_present	bird-crest_tail_color-orange	bird-crest_tail_color-white	it's a bird with purple hair	9398	speaker	12288	chatMessage	I	E	2881949299159029675
4	fish_white_bodies_orange_stripes_or_fangs	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	fish-body_color-white	fish-body_color-orange	fish-stripes_color-purple	purple fish with no stripes	7498	speaker	14982	chatMessage	I	E	-2595466527821689428
5	fish_whiskers	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	fish-whiskers_present	fish-stripes_color-purple	fish-fangs_present-true	fish with no tooth or stripes	11978	speaker	14015	chatMessage	I	E	1278909539265760084
6	trees_without_leaves	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	tree-leaves_present	tree-berries_color-orange	tree-trunk_color-white	flower with green stem and white dots	9006	speaker	10537	chatMessage	I	L	2845870691181468099
8	flowers_orange_stems	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	flower-stem_color-orange	flower-center_color-orange	flower-petals_color-purple	orange stem flower with white center dot	7429	speaker	10123	chatMessage	I	E	-3679592575208833402
8	flowers_orange_stems	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	flower-stem_color-orange	flower-center_color-orange	flower-petals_color-purple	orange petals too sorry	3514	speaker	29603	chatMessage	I	E	-3679592575208833402
9	flowers_thorns_purple_petals_or_orange_stems	development	5475-2892f2d6-fc22-4e45-beee-cddfed25d40b	1550000000000.0	listener	flower-petals_color-purple	flower-center_color-purple	flower-petals_color-white	orange petals with white center dot	7019	speaker	17239	chatMessage	I	E	-8794779879575967676
